Architektura,Metoda,Near (C100) AUROC,Near (C100) FPR@95,Far (SVHN) AUROC,Far (SVHN) FPR@95
ResNet18,MSP,0.84273908,0.6775,0.8711819049631224,0.6723647818070068
ResNet18,Energy,0.86246386,0.5994,0.8800372214966196,0.7214197910264291
ResNet18,ODIN,0.8183010850000001,0.6062,0.8250960855869698,0.7224569760295021
ConvNeXt,MSP,0.8077386150000001,0.7084,0.9099322487707436,0.5432160417947142
ConvNeXt,Energy,0.7871603999999999,0.632,0.9469871581130916,0.2634834050399508
ConvNeXt,ODIN,0.744841155,0.6582,0.9035564055777505,0.3955900430239705
ViT,MSP,0.746291495,0.8269,0.7446527082052858,0.895321143208359
ViT,Energy,0.801533115,0.7611,0.7951811654886294,0.904041180086048
ViT,ODIN,0.8029654749999999,0.7583,0.7999345593884449,0.8753841425937308
